背番号,選手名,守備,生年月日,年齢,プロ年数,身長,体重,血液型,投打,出身地,推定年俸(万円),2019年所属球団,生年年,生年月,生年日,選手名_球団,選手名_生年月日,出場試合数,出身地域,出身校,高・大フラグ,オリックス,ソフトバンク,ヤクルト,ロッテ,中日,巨人,広島,日ハム,楽天,横浜,西武,阪神,直近10年間月間MVP受賞回数,直近10年間GG受賞回数,最大所属年数,最大所属年数球団,ネックレス太さ,目的変数_ネックレス装着フラグ,外国人フラグ,育成,2019年セパフラグ,最大所属年数球団_adj
32,白濱裕太,捕手,1985-10-31,33,16,180,90,A型,右右,大阪,650,広島,1985,10,31,白濱裕太_広島,白濱裕太_1985-10-31,0.0,近畿,広陵高,高校,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,広島,0.0,0.0,国内,0,セリーグ,広島
33,菊池涼介,内野手,1990-03-11,29,8,171,72,A型,右右,東京,24000,広島,1990,3,11,菊池涼介_広島,菊池涼介_1990-03-11,138.0,東京,中京学院大,大学,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,広島,0.0,0.0,国内,0,セリーグ,広島
34,高橋昂也,投手,1998-09-27,21,3,181,90,A型,左左,埼玉,800,広島,1998,9,27,高橋昂也_広島,高橋昂也_1998-09-27,0.0,関東,花咲徳栄高,高校,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,広島,0.0,0.0,国内,0,セリーグ,広島
35,三好匠,内野手,1993-06-07,26,8,174,75,A型,右右,福岡,1050,広島,1993,6,7,三好匠_広島,三好匠_1993-06-07,60.0,九州,九州国際大付高,高校,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,楽天,0.0,0.0,国内,0,セリーグ,楽天
36,塹江敦哉,投手,1997-02-21,22,5,178,86,A型,左左,香川,650,広島,1997,2,21,塹江敦哉_広島,塹江敦哉_1997-02-21,11.0,四国,高松北高,高校,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,広島,0.0,0.0,国内,0,セリーグ,広島
37,野間峻祥,外野手,1993-01-28,26,5,180,83,B型,右左,兵庫,3400,広島,1993,1,28,野間峻祥_広島,野間峻祥_1993-01-28,123.0,近畿,中部学院大,大学,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,広島,0.0,0.0,国内,0,セリーグ,広島
38,赤松真人,外野手,1982-09-06,37,15,182,70,O型,右右,京都,2025,広島,1982,9,6,赤松真人_広島,赤松真人_1982-09-06,1.0,近畿,立命大,大学,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,広島,0.0,0.0,国内,0,セリーグ,広島
39,飯田哲矢,投手,1991-03-28,28,5,182,80,A型,左左,神奈川,900,広島,1991,3,28,飯田哲矢_広島,飯田哲矢_1991-03-28,0.0,関東,亜大,大学,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,広島,0.0,0.0,国内,0,セリーグ,広島
40,磯村嘉孝,捕手,1992-11-01,26,9,178,89,A型,右右,愛知,1100,広島,1992,11,1,磯村嘉孝_広島,磯村嘉孝_1992-11-01,65.0,東海,中京大中京高,高校,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,広島,0.0,0.0,国内,0,セリーグ,広島
41,藤井皓哉,投手,1996-07-29,23,5,181,88,AB型,右左,岡山,750,広島,1996,7,29,藤井皓哉_広島,藤井皓哉_1996-07-29,4.0,中国,おかやま山陽高,高校,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,広島,0.0,0.0,国内,0,セリーグ,広島
42,ジョンソン,投手,1984-10-14,35,5,193,93,不明,左左,アメリカ,32700,広島,1984,10,14,ジョンソン_広島,ジョンソン_1984-10-14,27.0,アメリカ,ウィチタ州立大,大学,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,広島,0.0,0.0,国外,0,セリーグ,広島
43,島内颯太郎,投手,1996-10-14,23,1,180,78,O型,右右,福岡,1000,広島,1996,10,14,島内颯太郎_広島,島内颯太郎_1996-10-14,25.0,九州,九州共立大,大学,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国内,0,セリーグ,広島
44,林晃汰,内野手,2000-11-16,18,1,182,90,O型,右左,和歌山,600,広島,2000,11,16,林晃汰_広島,林晃汰_2000-11-16,0.0,近畿,智弁和歌山高,高校,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国内,0,セリーグ,広島
45,桒原樹,内野手,1996-07-04,23,5,180,80,O型,右左,静岡,550,広島,1996,7,4,桒原樹_広島,桒原樹_1996-07-04,0.0,東海,常葉学園菊川高,高校,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,広島,0.0,0.0,国内,0,セリーグ,広島
46,高橋樹也,投手,1997-06-21,22,4,176,81,A型,左左,岩手,900,広島,1997,6,21,高橋樹也_広島,高橋樹也_1997-06-21,0.0,東北,花巻東高,高校,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,広島,0.0,0.0,国内,0,セリーグ,広島
47,山口翔,投手,1999-04-28,20,2,181,75,B型,右右,熊本,600,広島,1999,4,28,山口翔_広島,山口翔_1999-04-28,9.0,九州,熊本工高,高校,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,広島,0.0,0.0,国内,0,セリーグ,広島
48,アドゥワ誠,投手,1998-10-02,21,3,196,83,O型,右右,熊本,2200,広島,1998,10,2,アドゥワ誠_広島,アドゥワ誠_1998-10-02,19.0,九州,松山聖陵高,高校,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,広島,0.0,0.0,国内,0,セリーグ,広島
49,正隨優弥,外野手,1996-04-02,23,1,180,92,A型,右右,広島,700,広島,1996,4,2,正隨優弥_広島,正隨優弥_1996-04-02,0.0,中国,亜大,大学,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国内,0,セリーグ,広島
50,髙橋大樹,外野手,1994-05-11,25,7,181,86,O型,右右,大阪,650,広島,1994,5,11,髙橋大樹_広島,髙橋大樹_1994-05-11,27.0,近畿,龍谷大平安高,高校,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,広島,0.0,0.0,国内,0,セリーグ,広島
51,小園海斗,内野手,2000-06-07,19,1,178,84,AB型,右左,兵庫,800,広島,2000,6,7,小園海斗_広島,小園海斗_2000-06-07,58.0,近畿,報徳学園高,高校,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国内,0,セリーグ,広島
52,庄司隼人,内野手,1991-06-21,28,10,175,76,A型,右左,静岡,700,広島,1991,6,21,庄司隼人_広島,庄司隼人_1991-06-21,0.0,東海,常葉学園橘高,高校,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,広島,0.0,0.0,国内,0,セリーグ,広島
53,戸田隆矢,投手,1993-06-10,26,8,181,80,A型,左左,兵庫,1600,広島,1993,6,10,戸田隆矢_広島,戸田隆矢_1993-06-10,0.0,近畿,樟南高,高校,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,広島,0.0,0.0,国内,0,セリーグ,広島
54,船越涼太,捕手,1993-11-26,25,4,178,85,O型,右右,千葉,650,広島,1993,11,26,船越涼太_広島,船越涼太_1993-11-26,0.0,関東,市柏高,高校,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,広島,0.0,0.0,国内,0,セリーグ,広島
55,松山竜平,外野手,1985-09-18,34,12,176,96,B型,右左,鹿児島,10000,広島,1985,9,18,松山竜平_広島,松山竜平_1985-09-18,110.0,九州,九州国際大,大学,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,広島,0.0,0.0,国内,0,セリーグ,広島
56,中神拓都,内野手,2000-05-29,19,1,175,85,O型,右右,岐阜,500,広島,2000,5,29,中神拓都_広島,中神拓都_2000-05-29,0.0,東海,市岐阜商高,高校,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国内,0,セリーグ,広島
57,田中法彦,投手,2000-10-19,18,1,173,82,B型,右右,三重,450,広島,2000,10,19,田中法彦_広島,田中法彦_2000-10-19,0.0,東海,菰野高,高校,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国内,0,セリーグ,広島
58,レグナルト,投手,1988-12-13,30,1,188,103,不明,左左,アメリカ,4600,広島,1988,12,13,レグナルト_広島,レグナルト_1988-12-13,52.0,アメリカ,ロードアイランド大,大学,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国外,0,セリーグ,広島
59,菊池保則,投手,1989-09-18,30,12,180,80,O型,右左,茨城,1100,広島,1989,9,18,菊池保則_広島,菊池保則_1989-09-18,58.0,関東,常磐大高,高校,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,楽天,0.0,0.0,国内,0,セリーグ,楽天
60,永井敦士,外野手,2000-01-10,19,2,178,88,B型,右右,埼玉,500,広島,2000,1,10,永井敦士_広島,永井敦士_2000-01-10,0.0,関東,二松学舎大付高,高校,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,広島,0.0,0.0,国内,0,セリーグ,広島
61,坂倉将吾,捕手,1998-05-29,21,3,176,84,A型,右左,千葉,700,広島,1998,5,29,坂倉将吾_広島,坂倉将吾_1998-05-29,51.0,関東,日大三高,高校,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,広島,0.0,0.0,国内,0,セリーグ,広島
62,ヘルウェグ,投手,1988-10-29,30,2,200,106,不明,右右,アメリカ,10000,広島,1988,10,29,ヘルウェグ_広島,ヘルウェグ_1988-10-29,5.0,アメリカ,フロリダ州立大ジャクソンビル校,大学,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,広島,0.0,0.0,国外,0,セリーグ,広島
63,西川龍馬,内野手,1994-12-10,24,4,176,72,O型,右左,大阪,3100,広島,1994,12,10,西川龍馬_広島,西川龍馬_1994-12-10,138.0,近畿,敦賀気比高,高校,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,広島,0.0,0.0,国内,0,セリーグ,広島
64,中村恭平,投手,1989-03-22,30,9,185,86,O型,左左,福岡,750,広島,1989,3,22,中村恭平_広島,中村恭平_1989-03-22,43.0,九州,富士大,大学,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,広島,0.0,0.0,国内,0,セリーグ,広島
65,長井良太,投手,1999-01-15,20,3,181,80,B型,右右,兵庫,520,広島,1999,1,15,長井良太_広島,長井良太_1999-01-15,0.0,近畿,つくば秀英高,高校,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,広島,0.0,0.0,国内,0,セリーグ,広島
66,遠藤淳志,投手,1999-04-08,20,2,184,78,O型,右右,茨城,480,広島,1999,4,8,遠藤淳志_広島,遠藤淳志_1999-04-08,34.0,関東,霞ケ浦高,高校,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,広島,0.0,0.0,国内,0,セリーグ,広島
67,中村祐太,投手,1995-08-31,24,6,182,88,A型,右右,東京,1200,広島,1995,8,31,中村祐太_広島,中村祐太_1995-08-31,2.0,東京,関東第一高,高校,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,広島,0.0,0.0,国内,0,セリーグ,広島
68,平岡敬人,投手,1995-08-06,24,2,186,95,AB型,右右,兵庫,500,広島,1995,8,6,平岡敬人_広島,平岡敬人_1995-08-06,0.0,近畿,中部学院大,大学,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,広島,0.0,0.0,国内,0,セリーグ,広島
69,羽月隆太郎,内野手,2000-04-19,19,1,167,70,O型,右左,宮崎,450,広島,2000,4,19,羽月隆太郎_広島,羽月隆太郎_2000-04-19,0.0,九州,神村学園高,高校,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国内,0,セリーグ,広島
70,ローレンス,投手,1987-10-28,31,1,188,77,不明,右右,アメリカ,5930,広島,1987,10,28,ローレンス_広島,ローレンス_1987-10-28,1.0,アメリカ,オルブライト大,大学,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国外,0,セリーグ,広島
95,バティスタ,外野手,1992-01-18,27,4,189,113,不明,右右,ドミニカ共和国,4000,広島,1992,1,18,バティスタ_広島,バティスタ_1992-01-18,103.0,ドミニカ共和国,サンタルシア中高,高校,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,広島,0.0,0.0,国外,0,セリーグ,広島
96,メヒア,内野手,1993-03-10,26,4,192,98,不明,右右,ドミニカ共和国,1300,広島,1993,3,10,メヒア_広島,メヒア_1993-03-10,56.0,ドミニカ共和国,サンファンバウティスタデラサジェ中高,高校,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,広島,0.0,0.0,国外,0,セリーグ,広島
97,フランスア,投手,1993-09-25,26,2,186,110,不明,左左,ドミニカ共和国,4000,広島,1993,9,25,フランスア_広島,フランスア_1993-09-25,67.0,ドミニカ共和国,セナペック高,高校,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,広島,0.0,0.0,国外,0,セリーグ,広島
98,モンティージャ,投手,1995-10-02,24,1,190,115,不明,左左,ドミニカ共和国,230,広島,1995,10,2,モンティージャ_広島,モンティージャ_1995-10-02,2.0,ドミニカ共和国,ウルピーナゴンザレス高,高校,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国外,0,セリーグ,広島
99,サンタナ,内野手,1994-08-16,25,1,181,100,不明,右右,ドミニカ共和国,230,広島,1994,8,16,サンタナ_広島,サンタナ_1994-08-16,13.0,ドミニカ共和国,パドレ・ボルボン中等学校,その他,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国外,0,セリーグ,広島
120,岡林飛翔,投手,1999-08-09,20,2,183,85,O型,右右,三重,300,広島,1999,8,9,岡林飛翔_広島,岡林飛翔_1999-08-09,0.0,東海,菰野高,高校,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,広島,0.0,0.0,国内,育成,セリーグ,広島
121,藤井黎來,投手,1999-09-17,20,2,182,86,A型,右右,秋田,300,広島,1999,9,17,藤井黎來_広島,藤井黎來_1999-09-17,0.0,東北,大曲工高,高校,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,広島,0.0,0.0,国内,育成,セリーグ,広島
122,佐々木健,投手,1999-04-02,20,2,189,78,A型,右右,静岡,300,広島,1999,4,2,佐々木健_広島,佐々木健_1999-04-02,0.0,東海,小笠高,高校,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,広島,0.0,0.0,国内,育成,セリーグ,広島
123,木村聡司,内野手,1996-05-06,23,5,180,78,B型,右右,静岡,400,広島,1996,5,6,木村聡司_広島,木村聡司_1996-05-06,0.0,東海,常葉学園橘高,高校,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,広島,0.0,0.0,国内,育成,セリーグ,広島
124,大盛穂,外野手,1996-08-31,23,1,180,71,A型,右左,大阪,300,広島,1996,8,31,大盛穂_広島,大盛穂_1996-08-31,0.0,近畿,静岡産大,大学,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国内,育成,セリーグ,広島
